symbol,entry_date,setup,p_raw,p_cal,score,is_win,r_realized
CVX,2024-05-29,reversion,0.22859606762002396,0.33519553072625696,34,1,2.486
AVGO,2024-05-29,momentum,0.3511989281149898,0.3397291196388262,34,0,-1.0
BLK,2024-05-29,reversion,0.1426682959230307,0.33519553072625696,34,1,2.498
ETR,2024-05-29,reversion,0.16384642699945093,0.33519553072625696,34,1,2.5
BKNG,2024-05-29,momentum,0.3221790927561125,0.33519553072625696,34,1,2.55
URI,2024-05-29,reversion,0.19366635779976474,0.33519553072625696,34,1,2.502
WFC,2024-05-29,reversion,0.22340673821341459,0.33519553072625696,34,0,-1.0
ISRG,2024-05-30,momentum,0.3681845144695856,0.3397291196388262,34,1,2.748
GOOGL,2024-05-30,momentum,0.22738413249307546,0.33519553072625696,34,0,-1.0
MARA,2024-05-30,momentum,0.23204754570070615,0.33519553072625696,34,0,-1.0
GOOG,2024-05-30,momentum,0.21817751183322004,0.33519553072625696,34,0,-1.0
QQQ,2024-05-30,momentum,0.22565687369176513,0.33519553072625696,34,0,-1.0
CEG,2024-05-31,breakout,0.3616226150950618,0.3397291196388262,34,0,-1.0
DELL,2024-05-31,breakout,0.21470763569524878,0.33519553072625696,34,0,-1.0
MU,2024-05-31,breakout,0.355057068466932,0.3397291196388262,34,1,3.003
MPWR,2024-05-31,breakout,0.26964812674998045,0.33519553072625696,34,1,2.529
MRVL,2024-05-31,breakout,0.2956984491049976,0.33519553072625696,34,0,-1.0
PDD,2024-06-03,momentum,0.2917682226527776,0.33519553072625696,34,0,-1.0
CRWD,2024-06-03,reversion,0.12285545318174716,0.3333333333333333,33,1,2.501
CAT,2024-06-04,reversion,0.34187022937550215,0.3397291196388262,34,0,-1.0
COIN,2024-06-04,momentum,0.5725167245261382,0.562962962962963,56,0,-1.0
PLTR,2024-06-04,momentum,0.36483872982414467,0.3397291196388262,34,1,2.658
NFLX,2024-06-04,momentum,0.29922220804996325,0.33519553072625696,34,1,2.742
PANW,2024-06-04,reversion,0.36027630039281094,0.3397291196388262,34,1,2.498
AMD,2024-06-05,momentum,0.4703741813295985,0.41379310344827586,41,0,-1.0
CMG,2024-06-05,momentum,0.577543534945419,0.562962962962963,56,1,2.726
BWXT,2024-06-05,momentum,0.43321139324903724,0.41379310344827586,41,0,-1.0
SCHW,2024-06-05,momentum,0.5110085953409722,0.45714285714285713,46,0,-1.0
ADI,2024-06-06,momentum,0.5250785227517177,0.5042016806722689,50,0,-1.0
ETN,2024-06-06,reversion,0.4137001138125209,0.3397291196388262,34,1,2.502
JD,2024-06-07,reversion,0.3791660127146751,0.3397291196388262,34,0,-1.0
AMZN,2024-06-07,momentum,0.575414865503642,0.562962962962963,56,1,2.628
VRT,2024-06-07,reversion,0.41584492606584594,0.3397291196388262,34,1,1.941
ABT,2024-06-07,momentum,0.774398478264462,0.8181818181818182,82,1,2.548
DELL,2024-06-10,reversion,0.42742276081172237,0.3397291196388262,34,1,2.499
NRG,2024-06-10,momentum,0.4745373323088262,0.41379310344827586,41,0,-0.59
DUOL,2024-06-10,momentum,0.45016968545011377,0.41379310344827586,41,1,0.213
ON,2024-06-10,momentum,0.32844489139738964,0.3397291196388262,34,0,-1.0
FSLR,2024-06-10,momentum,0.629827801289538,0.641711229946524,64,1,2.749
CEG,2024-06-10,momentum,0.5318648689820846,0.5042016806722689,50,0,-1.0
SMCI,2024-06-11,reversion,0.37726505686212064,0.3397291196388262,34,1,2.498
AFRM,2024-06-11,momentum,0.6653830762028616,0.641711229946524,64,1,2.598
C,2024-06-11,reversion,0.38833448345580773,0.3397291196388262,34,1,2.5
NEM,2024-06-11,reversion,0.3997933838884242,0.3397291196388262,34,1,2.506
URI,2024-06-11,reversion,0.3928708541302564,0.3397291196388262,34,1,2.5
LOW,2024-06-12,momentum,0.5066864383643883,0.45714285714285713,46,1,2.754
AXP,2024-06-12,reversion,0.40525819240079025,0.3397291196388262,34,0,-1.0
MRVL,2024-06-12,momentum,0.7002506038873438,0.6785714285714286,68,0,-1.0
XOM,2024-06-12,reversion,0.4117428585862028,0.3397291196388262,34,0,-1.0
RIOT,2024-06-12,momentum,0.704004003785218,0.6785714285714286,68,0,-1.0
DDOG,2024-06-13,momentum,0.7042761632883372,0.6785714285714286,68,1,2.75
MPC,2024-06-14,reversion,0.41271416563008007,0.3397291196388262,34,1,1.315
NOW,2024-06-14,momentum,0.4544744835292345,0.41379310344827586,41,1,2.751
SO,2024-06-14,momentum,0.43784795235573837,0.41379310344827586,41,0,-1.0
AI,2024-06-14,momentum,0.44281565776559484,0.41379310344827586,41,0,-1.0
INTU,2024-06-17,momentum,0.43874149696516407,0.41379310344827586,41,1,2.748
AA,2024-06-17,reversion,0.4046079139966491,0.3397291196388262,34,1,2.5
XLE,2024-06-17,reversion,0.40390165021453434,0.3397291196388262,34,1,2.469
FCX,2024-06-17,reversion,0.42020232395339235,0.3397291196388262,34,1,2.491
BLK,2024-06-17,momentum,0.4525877279562926,0.41379310344827586,41,1,2.751
ETR,2024-06-17,reversion,0.4458251545656179,0.41379310344827586,41,1,0.331
WFC,2024-06-18,momentum,0.5450831982818133,0.5042016806722689,50,0,-1.0
VRTX,2024-06-18,momentum,0.4769485691144879,0.41379310344827586,41,0,-1.0
BROS,2024-06-20,momentum,0.3179654964018762,0.33519553072625696,34,1,2.738
UAL,2024-06-20,reversion,0.2655633462405199,0.33519553072625696,34,0,-1.0
DASH,2024-06-20,reversion,0.26139669488184414,0.33519553072625696,34,0,-1.0
HOOD,2024-06-20,momentum,0.38613418901206303,0.3397291196388262,34,0,-1.0
NXPI,2024-06-21,breakout,0.521276982858267,0.5042016806722689,50,0,-1.0
ASML,2024-06-21,momentum,0.3079311426925326,0.33519553072625696,34,0,-1.0
CRWD,2024-06-24,momentum,0.4694624899125149,0.41379310344827586,41,0,-1.0
MCHP,2024-06-24,reversion,0.36555906661790677,0.3397291196388262,34,1,2.504
TGT,2024-06-24,momentum,0.46023511984598425,0.41379310344827586,41,1,2.753
NEE,2024-06-24,momentum,0.4713525834667717,0.41379310344827586,41,0,-1.0
FSLR,2024-06-24,momentum,0.28271257185117127,0.33519553072625696,34,0,-1.0
CRDO,2024-06-24,momentum,0.28237832113406325,0.33519553072625696,34,1,2.767
CVX,2024-06-24,momentum,0.5501949096579967,0.562962962962963,56,0,-1.0
C,2024-06-24,momentum,0.4479136334321073,0.41379310344827586,41,1,2.744
